,Name,Company,City,Ratings,Summary,Date
0,"Software Engineer, Integrations",Square,"San Francisco, CA 94103 (South of Market area)",3.7,"4+ years of experience developing production software.
Experience with ERPs or other enterprise software.
Square made credit card payments possible for all by…",1 day ago
1,"Software Engineer, Backend - Tweet Services",Twitter,"San Francisco, CA 94103 (South of Market area)",4.1,"At least 3 years of software development experience.
Proven experience with software engineering best practices for iterative development, testing, code reuse,…",2 days ago
2,"Software Engineer, University Graduate",MemSQL,"San Francisco, CA 94107 (South of Market area)",NaN,MemSQL envisions a world where every business can make decisions in real time and every experience is optimized through data.,30+ days ago
3,Software Engineer - C++,Splunk,"San Francisco, CA",4.1,"Examples of area you may be knowledgeable in may include multi-threaded programming, distributed file systems, distributed concurrency control, consistency…",Today
4,Software Engineer - New Grad,Blend Labs,"San Francisco, CA 94103 (South of Market area)",NaN,Prior industry experience as a software engineering intern (domain knowledge in enterprise software or home lending not required).,30+ days ago
5,University Grad Software Engineer,Pinterest,"San Francisco, CA 94103 (South of Market area)",4.2,"Collaborate with engineers across our organization to build new features from scratch.
Hit the ground running–get ready to jump in the code base on day one.",29 days ago
6,Software Engineer - Intern,Plaid,"San Francisco, CA",3.8,"Degree in engineering, CS, physics, math, statistics, or another related field.
Strong track record of building interesting projects, whether during internships…",30+ days ago
7,"Software Engineer (Frontend), Square Console",Square,"San Francisco, CA 94103 (South of Market area)",3.7,"Square made credit card payments possible for all by turning a mobile phone into a credit card reader.
We build tools for quick and easy deployment, service…",9 days ago
8,Software Engineer - Subscriptions,"Twitch Interactive, Inc.","San Francisco, CA",3.6,"Brainstorm with designers, product managers and engineers to design new features.
You are a full stack developer who is comfortable with Javascript client…",30+ days ago
9,"MTS 1, Software Engineer",Braintree,"San Francisco, CA 94105 (Financial District area)",3.9,"Think: Airbnb or TaskRabbit Hosted Fields — small, transparent iFrames that replace sensitive credit card inputs in your checkout flow Drop-In UI — ready-made…",2 days ago
10,"Software Engineer, Reconciliation Team",Square,"San Francisco, CA 94103 (South of Market area)",3.7,"Leverage proper cloud computing technology, design and implement highly scalable systems that reconciles every payment from all Square internal products and…",9 days ago
11,"Software Engineer Intern, 2021 Summer",Atlassian,"San Francisco, CA",4.6,"Have experience with Java, Python, C, C++, or other related object-oriented programming language.
Have a real passion for software engineering, as demonstrated…",5 days ago
12,Software Engineer (C++),Anyscale,"San Francisco, CA",NaN,"We’re commercializing a popular open source project called Ray, which is a framework for distributed computing as well as an ecosystem of libraries for scalable…",25 days ago
13,"Junior Software Engineer, Back-End",CharterUP,"San Francisco, CA",NaN,"We are looking for someone who understands software architecture, data modeling, and object-oriented programming concepts.
You must be a coder.",23 days ago
14,Software Engineer,Bolt,"San Francisco, CA",4.2,"Millions of dollars flow through these every day and we take stability, performance and perfection seriously.
Checkout UI collects and verifies user and payment…",30+ days ago
15,"Software Engineer, Front-End (Browser Extensions)","Grammarly, Inc.","San Francisco, CA 94104 (Financial District area)",4.8,"The person in this role will work very closely with the Product managers, UX Designers and Data Scientists to translate ideas that will drive Consumer and…",2 days ago
16,Software Engineer - Front End,Splunk,"San Francisco, CA",4.1,You will help drive faster continuous delivery cycles for cloud customers and robust periodic deliveries for on premise based customers.,2 days ago
17,Software Engineer Intern– 6 months internship,Intel,"San Francisco, CA 94111 (Financial District area)",4.1,"Designing production software in Python/C++.
Interest and knowledge of sports, biomechanics, and athlete analytics.
Algo dev/computer vision/machine learning.",1 day ago
18,Junior Software Engineer,Openprise,"San Francisco Bay Area, CA",NaN,"Junior software engineer experienced in web development technology, with at least 3 years of experience.
Work closely with developer leads to understand and…",30+ days ago
19,Software Engineer in Test (Java / Javascript),Splunk,"San Francisco, CA",4.1,"Splunk is looking for an enthusiastic and innovative test engineer to take an active role in crafting the quality of our web application, empowering our…",1 day ago
20,"Software Engineer, Search",Benchling,"San Francisco, CA 94103 (South of Market area)",NaN,"Have 5 or more years of experience as a software engineer, including experience with delivering Search functionality in the context of a modern, cloud-first…",30+ days ago
21,Software Engineer,Sony Interactive Entertainment PlayStation,"San Francisco, CA",3.7,"You have built software using Go (Golang), Java or similar languages.
You have 2-4 years of experience building distributed and scalable software.",11 days ago
22,"Software Engineer, Front-End",Cresta,"San Francisco, CA (Russian Hill area)",4.2,"Lunch and dinner every day.
Build the user interaction for a machine learning platform and features that assist our users with real-time suggestions.",30+ days ago
23,Software Engineer,Lightstep,"San Francisco, CA 94105 (South Beach area)",NaN,"You'd enjoy working on a cross-functional team alongside designers, DevOps, UI engineers, and product managers.",9 days ago
24,Software Engineer - Backend (Money Movement),Plaid,"San Francisco, CA",3.8,"You will work across the stack when needed, but spend most of your time developing improvements to the products and backend systems powering our fraud detection…",23 days ago
25,Software Engineer,Snapdocs,"San Francisco, CA 94102 (Downtown area)",3.5,Your day to day interactions span product and engineering teams to release at a high velocity in all phases of the SDLC.,30+ days ago
26,Software Engineer - Frontend,dYdX,"San Francisco, CA 94114 (Noe Valley area)",NaN,"Collaborate with backend engineers to build and ship new features.
Commercial experience using React, Redux (or similar frameworks).",30+ days ago
